! Auto-generated by Reform.

MD5	aaf0b90fbb31717481c02832bf412070
Routine 0x154d8	routine87256:?
Routine 0x15550	routine87376:?
Routine 0x15628	routine87592:?
Routine 0x15638	routine87608:?
Routine 0x15648	routine87624:?
Routine 0x15720	routine87840:?
Routine 0x157b8	routine87992:?
Routine 0x157f8	routine88056:?
Routine 0x15838	routine88120:?
Routine 0x15868	routine88168:?
Routine 0x158a0	routine88224:?
Routine 0x158b8	routine88248:?
Routine 0x158c0	routine88256:?
Routine 0x158f0	routine88304:?
Routine 0x15910	routine88336:?
! References: obj23__Library_Extensions_.RunAll
Routine 0x15940	routine88384:?
! References: obj23__Library_Extensions_.RunUntil
Routine 0x15980	routine88448:?
! References: obj23__Library_Extensions_.RunWhile
Routine 0x159c8	routine88520:?
Routine 0x15a08	ObjectsSub:?
Routine 0x15a10	PlacesSub:?
Routine 0x15a18	VersionSub:?
Routine 0x15aa0	routine88736:?
Routine 0x15ad0	routine88784:?
Routine 0x15b18	routine88856:?
Routine 0x15b38	routine88888:?
Routine 0x15ba8	routine89000:?
Routine 0x15bf8	routine89080:?
Routine 0x15c68	routine89192:?
Routine 0x15c80	routine89216:?
Routine 0x15cd0	routine89296:?
Routine 0x16328	routine90920:?
Routine 0x16380	routine91008:?
Routine 0x16600	routine91648:?
Routine 0x166a8	routine91816:?
Routine 0x168f8	routine92408:?
Routine 0x16990	routine92560:?
Routine 0x169d0	routine92624:?
Routine 0x169e0	routine92640:?
Routine 0x16a48	QuitSub:?
Routine 0x16a58	RestartSub:?
Routine 0x16a70	RestoreSub:?
Routine 0x16a88	SaveSub:?
Routine 0x16ab8	VerifySub:?
Routine 0x16ad0	ScriptOnSub:?
Routine 0x16b08	ScriptOffSub:?
Routine 0x16b40	CommandsOnSub:?
Routine 0x16b50	CommandsOffSub:?
Routine 0x16b68	CommandsReadSub:?
Routine 0x16b78	NotifyOnSub:?
Routine 0x16b88	NotifyOffSub:?
Routine 0x16b98	routine93080:?
Routine 0x16bf0	ScoreSub:?
Routine 0x16c00	routine93184:?
Routine 0x16c08	routine93192:?
Routine 0x16c28	routine93224:?
Routine 0x16c60	InvWideSub:?
Routine 0x16c70	InvTallSub:?
Routine 0x16c80	InvSub:?
Routine 0x16ce8	routine93416:?
Routine 0x16d08	routine93448:?
Routine 0x16d28	routine93480:?
Routine 0x16d88	routine93576:?
Routine 0x16ed0	RemoveSub:?
Routine 0x16f30	DropSub:?
Routine 0x16f90	PutOnSub:?
Routine 0x17098	InsertSub:?
Routine 0x171a0	TransferSub:?
Routine 0x171d0	EmptySub:?
Routine 0x171d8	EmptyTSub:?
Routine 0x172b8	GiveSub:?
Routine 0x172e8	GiveRSub:?
Routine 0x172f8	ShowRSub:?
Routine 0x17308	EnterSub:?
Routine 0x173f0	GetOffSub:?
Routine 0x17408	ExitSub:?
Routine 0x17480	VagueGoSub:?
Routine 0x17488	GoInSub:?
Routine 0x17490	GoSub:?
Routine 0x175f0	routine95728:?
Routine 0x17620	routine95776:?
Routine 0x17640	routine95808:?
Routine 0x177a0	LMode1Sub:?
Routine 0x177b0	LMode2Sub:?
Routine 0x177c0	LMode3Sub:?
Routine 0x177d0	routine96208:?
Routine 0x177f8	routine96248:?
Routine 0x17810	routine96272:?
Routine 0x17838	LookSub:?
Routine 0x17980	ExamineSub:?
Routine 0x179d8	LookUnderSub:?
Routine 0x179f0	routine96752:?
Routine 0x17a10	SearchSub:?
Routine 0x17a88	UnlockSub:?
Routine 0x17ad8	LockSub:?
Routine 0x17b38	SwitchOnSub:?
Routine 0x17b78	SwitchOffSub:?
Routine 0x17bb8	OpenSub:?
Routine 0x17c30	CloseSub:?
Routine 0x17c70	DisrobeSub:?
Routine 0x17ca0	WearSub:?
Routine 0x17cf0	EatSub:?
Routine 0x17d38	routine97592:?
Routine 0x17d78	AnswerSub:?
Routine 0x17d90	AskSub:?
Routine 0x17da8	AskForSub:?
Routine 0x17dc0	AskToSub:?
Routine 0x17dd0	BlowSub:?
Routine 0x17de0	BuySub:?
Routine 0x17df0	ClimbSub:?
Routine 0x17e00	ConsultSub:?
Routine 0x17e10	CutSub:?
Routine 0x17e20	DigSub:?
Routine 0x17e30	DrinkSub:?
Routine 0x17e40	JumpSub:?
Routine 0x17e50	JumpOverSub:?
Routine 0x17e60	KissSub:?
Routine 0x17e90	ListenSub:?
Routine 0x17ea0	MildSub:?
Routine 0x17eb0	NoSub:?
Routine 0x17eb8	PraySub:?
Routine 0x17ec8	PullSub:?
Routine 0x17f08	PushSub:?
Routine 0x17f48	PushDirSub:?
Routine 0x17f58	RubSub:?
Routine 0x17f68	SetSub:?
Routine 0x17f78	SetToSub:?
Routine 0x17f88	SingSub:?
Routine 0x17f98	SleepSub:?
Routine 0x17fa8	SmellSub:?
Routine 0x17fb8	SorrySub:?
Routine 0x17fc8	SqueezeSub:?
Routine 0x17fe8	StrongSub:?
Routine 0x17ff8	SwimSub:?
Routine 0x18008	SwingSub:?
Routine 0x18018	TasteSub:?
Routine 0x18028	TellSub:?
Routine 0x18048	ThinkSub:?
Routine 0x18058	ThrowAtSub:?
Routine 0x180b8	TieSub:?
Routine 0x180c8	TouchSub:?
Routine 0x180f8	TurnSub:?
Routine 0x18138	WaitSub:?
Routine 0x18150	WakeSub:?
Routine 0x18160	WakeOtherSub:?
Routine 0x18180	WaveSub:?
Routine 0x181a0	WaveHandsSub:?
Routine 0x181b0	YesSub:?
Routine 0x181b8	routine98744:?
Routine 0x181d0	routine98768:?
! References: Option.emblazon, Menu.emblazon, SwitchOption.emblazon, HintTopic.emblazon, obj501_Lost_Pig.emblazon, obj502_About_this_game.emblazon, obj503_How_to_play_Interactive_Fiction.emblazon, obj504_Special_commands_for_this_game.emblazon, obj505_Credits.emblazon, obj506_About_the_author.emblazon, obj507_About_the_implementor.emblazon, obj508_Betatesters.emblazon, obj509_Acknowledgments.emblazon, obj510_Hints.emblazon, obj511_Are_you_sure_.emblazon, obj512_I_ve_changed_my_mind_.emblazon, obj513_I_really_want_hints_.emblazon, obj514_Hints.emblazon, obj515_AMUSING.emblazon, obj516_Higgledy_Piggledy.emblazon, obj517__whoamiH_.emblazon, obj518__wherepigH_.emblazon, obj519__whatnextH_.emblazon, obj520__gnomeH_.emblazon, obj521__keyH_.emblazon, obj522__keyforH_.emblazon, obj523__powderH_.emblazon, obj524__poleH_.emblazon, obj525__machineH_.emblazon, obj526__brickH_.emblazon, obj527__newbrickH_.emblazon, obj528__bookH_.emblazon, obj529__pageH_.emblazon, obj530__paperH_.emblazon, obj531__pigH_.emblazon, obj532__exitH_.emblazon, obj533__lightH_.emblazon, obj534__mazeH_.emblazon, obj535__llpH_.emblazon
Routine 0x18208	routine98824:?
Routine 0x18298	routine98968:?
Routine 0x182d8	routine99032:?
Routine 0x18500	routine99584:?
Routine 0x18520	routine99616:?
Routine 0x18530	routine99632:?
Routine 0x18570	routine99696:?
Routine 0x185b0	routine99760:?
Routine 0x18620	routine99872:?
Routine 0x18650	routine99920:?
Routine 0x18670	routine99952:?
Routine 0x18690	routine99984:?
Routine 0x18710	routine100112:?
Routine 0x18768	routine100200:?
Routine 0x18778	routine100216:?
Routine 0x18798	routine100248:?
Routine 0x187b0	routine100272:?
Routine 0x187c0	routine100288:?
Routine 0x187d0	routine100304:?
Routine 0x187e8	routine100328:?
Routine 0x18828	routine100392:?
Routine 0x18848	routine100424:?
! References: Room.compass_look, obj84_Nowhere.compass_look, obj85__placeholder_.compass_look, obj93_Outside.compass_look, obj102_Hole.compass_look, obj109__insideCrack_.compass_look, obj111_Fountain_Room.compass_look, obj128_Statue_Room.compass_look, obj147_Table_Room.compass_look, obj157_Shelf_Room.compass_look, obj164__onTopShelf_.compass_look, obj166_Cave_With_Stream.compass_look, obj177_Windy_Cave.compass_look, obj183__maze_.compass_look, obj187_Probably_New_Tunnel.compass_look, obj189_Some_Other_Cave.compass_look, obj190_Forest.compass_look, obj193_Farm.compass_look, obj194__gnomeRoom_.compass_look, obj196__gnomeHolder_.compass_look, obj222__seekHome_.compass_look, obj235__specialTopics_.compass_look, obj314__unknownTopics_.compass_look, obj462__knownTopics_.compass_look, obj494__gnomeTopics_.compass_look, obj498__pigTopics_.compass_look
Routine 0x188a0	routine100512:?
! References: Room.isBright, obj84_Nowhere.isBright, obj85__placeholder_.isBright, obj93_Outside.isBright, obj102_Hole.isBright, obj109__insideCrack_.isBright, obj111_Fountain_Room.isBright, obj128_Statue_Room.isBright, obj147_Table_Room.isBright, obj157_Shelf_Room.isBright, obj164__onTopShelf_.isBright, obj166_Cave_With_Stream.isBright, obj177_Windy_Cave.isBright, obj183__maze_.isBright, obj187_Probably_New_Tunnel.isBright, obj189_Some_Other_Cave.isBright, obj190_Forest.isBright, obj193_Farm.isBright, obj194__gnomeRoom_.isBright, obj196__gnomeHolder_.isBright, obj222__seekHome_.isBright, obj235__specialTopics_.isBright, obj314__unknownTopics_.isBright, obj462__knownTopics_.isBright, obj494__gnomeTopics_.isBright, obj498__pigTopics_.isBright
Routine 0x18930	routine100656:?
Routine 0x18940	routine100672:?
! References: Room.cLocal, obj84_Nowhere.cLocal, obj85__placeholder_.cLocal, obj93_Outside.cLocal, obj109__insideCrack_.cLocal, obj164__onTopShelf_.cLocal, obj187_Probably_New_Tunnel.cLocal, obj189_Some_Other_Cave.cLocal, obj190_Forest.cLocal, obj193_Farm.cLocal, obj196__gnomeHolder_.cLocal, obj222__seekHome_.cLocal, obj235__specialTopics_.cLocal, obj314__unknownTopics_.cLocal, obj462__knownTopics_.cLocal, obj494__gnomeTopics_.cLocal, obj498__pigTopics_.cLocal
Routine 0x18948	routine100680:?
Routine 0x18958	routine100696:?
! References: Room.after, obj84_Nowhere.after, obj85__placeholder_.after, obj93_Outside.after, obj102_Hole.after, obj109__insideCrack_.after, obj111_Fountain_Room.after, obj128_Statue_Room.after, obj147_Table_Room.after, obj157_Shelf_Room.after, obj164__onTopShelf_.after, obj166_Cave_With_Stream.after, obj177_Windy_Cave.after, obj183__maze_.after, obj187_Probably_New_Tunnel.after, obj189_Some_Other_Cave.after, obj190_Forest.after, obj193_Farm.after, obj194__gnomeRoom_.after, obj196__gnomeHolder_.after, obj222__seekHome_.after, obj235__specialTopics_.after, obj314__unknownTopics_.after, obj462__knownTopics_.after, obj494__gnomeTopics_.after, obj498__pigTopics_.after
Routine 0x189a0	routine100768:?
Routine 0x18a30	routine100912:?
Routine 0x18a40	routine100928:?
Routine 0x18b70	routine101232:?
Routine 0x197b0	routine104368:?
! References: Thing.after, Fluid.after, Powder.after, obj34_Powder_1.after, obj35_Powder_2.after, obj36_Powder_3.after, obj37_Powder_4.after, Water.after, obj39_Water_1.after, obj40_Water_2.after, obj41_Water_3.after, obj42_Water_4.after, NPC.after, Brick.after, obj47_Brick_1.after, obj48_Brick_2.after, obj49_Brick_3.after, obj50_Brick_4.after, obj51_Brick_5.after, obj52_Brick_6.after, obj53_Brick_7.after, obj54_Brick_8.after, obj55_Brick_9.after, obj56_Brick_10.after, obj57_Brick_11.after, obj58_Brick_12.after, obj59_Brick_13.after, obj60_Brick_14.after, obj61_Brick_15.after, obj62_Brick_16.after, obj63_Brick_17.after, Fruit.after, obj65_Fruit_1.after, obj66_Fruit_2.after, obj67_Fruit_3.after, obj68_Fruit_4.after, obj69_Fruit_5.after, obj70_Fruit_6.after, obj71_Fruit_7.after, obj72_Fruit_8.after, obj73_Fruit_9.after, obj74_Fruit_10.after, obj75_Fruit_11.after, obj76_Fruit_12.after, obj77_Fruit_13.after, obj78_Fruit_14.after, obj79_Fruit_15.after, obj80_Fruit_16.after, obj81_Fruit_17.after, obj86_pig.after, obj87_Grunk.after, obj88_part_of_Grunk_body.after, obj89_stone.after, obj90_dark.after, obj91_pants.after, obj92_torch.after, obj94_moon.after, obj95_wall.after, obj96_field.after, obj97_forest.after, obj98_noise.after, obj99_tracks.after, obj100_farm.after, obj101__missingOutside_.after, obj103_broken_stair.after, obj104__whistle_.after, obj105_tunnel.after, obj106_curly_bit.after, obj107_hole.after, obj108_crack.after, obj110_paper.after, obj112__missingBR_.after, obj113_glowing_wall.after, obj114_tunnel_to_west.after, obj115_tunnel_to_east.after, obj116_fountain.after, obj117_squirty_part.after, obj118_little_bit.after, obj119_fountain_drain.after, obj120_fountain_bowl.after, obj121_coin.after, obj122_water_that_not_in_fountain.after, obj123_soup_that_not_in_fountain.after, obj124_curtain.after, obj125_picture_of_gnome.after, obj126_picture_of_cave.after, obj127_pig.after, obj129_picture_on_west_wall.after, obj130_black_powder_in_picture.after, obj131_fire_in_picture.after, obj132_water_in_picture.after, obj133_picture_on_east_wall.after, obj134_pole_in_picture.after, obj135_yellow_thing_in_picture.after, obj136_pie_in_picture.after, obj137_north_wall.after, obj138_south_wall.after, obj139_statue_head.after, obj140_hat.after, obj141_statue_shoes.after, obj142_statue_suit.after, obj143_statue_hand.after, obj144_block.after, obj145_statue_of_gnome.after, obj146_north_wall.after, obj148_table.after, obj149_slot.after, obj150_lever.after, obj151_basket.after, obj152_dent.after, obj153_metal_box.after, obj154_marks_on_wall.after, obj155_cards.after, obj156_chair.after, obj158_shelfs.after, obj159_top_shelf.after, obj160_chest.after, obj161__chestPowder_.after, obj162_keyhole.after, obj163_pole.after, obj165_book.after, obj167_cave.after, obj168_tunnel.after, obj169_stream.after, obj170__streamWater_.after, obj171_mud.after, obj172_bench.after, obj173_other_side_of_stream.after, obj174__key_.after, obj175_wall.after, obj176_pretty_picture.after, obj178_cave.after, obj179_grue.after, obj180_windy_tunnel.after, obj181_secret_door.after, obj182_pointy_rock.after, obj184__watcher_.after, obj185_tunnel.after, obj186_tunnel.after, obj188_hole.after, obj192_trunk.after, obj195_shadow.after, obj197_bed.after, obj198_desk.after, obj199_stool.after, obj200_shelf.after, obj201_ball.after, obj202_trunk.after, obj203_help.after, obj204_money.after, obj205_paint_or_dye.after, obj206_pipe.after, obj207_little_bag.after, obj208_smoke.after, obj209_strange_helmet.after, obj210_little_box.after, obj211_tray_full_of_stuff.after, obj212_pile_of_paper.after, obj213_bottle.after, obj214_pen.after, obj215_gnome.after, obj216_dress.after, obj217_slipper.after, obj218_hair.after, obj219_ear.after, obj220_nose.after, obj221_book.after
Routine 0x197e8	routine104424:?
Routine 0x19878	routine104568:?
Routine 0x19960	routine104800:?
Routine 0x19988	routine104840:?
! References: Fluid.create, Water.create, obj39_Water_1.create, obj40_Water_2.create, obj41_Water_3.create, obj42_Water_4.create, obj170__streamWater_.create
Routine 0x19a00	routine104960:?
! References: Fluid.destroy, Powder.destroy, obj34_Powder_1.destroy, obj35_Powder_2.destroy, obj36_Powder_3.destroy, obj37_Powder_4.destroy, Water.destroy, obj39_Water_1.destroy, obj40_Water_2.destroy, obj41_Water_3.destroy, obj42_Water_4.destroy, obj161__chestPowder_.destroy, obj170__streamWater_.destroy
Routine 0x19a10	routine104976:?
Routine 0x19a20	routine104992:?
Routine 0x19d08	routine105736:?
! References: Powder.burntDesc, obj34_Powder_1.burntDesc, obj35_Powder_2.burntDesc, obj36_Powder_3.burntDesc, obj37_Powder_4.burntDesc, obj161__chestPowder_.burntDesc
Routine 0x19d10	routine105744:?
! References: Powder.burningDesc, obj34_Powder_1.burningDesc, obj35_Powder_2.burningDesc, obj36_Powder_3.burningDesc, obj37_Powder_4.burningDesc, obj161__chestPowder_.burningDesc
Routine 0x19d18	routine105752:?
! References: Powder.getClass, obj34_Powder_1.getClass, obj35_Powder_2.getClass, obj36_Powder_3.getClass, obj37_Powder_4.getClass, obj161__chestPowder_.getClass
Routine 0x19d30	routine105776:?
! References: Powder.create, obj34_Powder_1.create, obj35_Powder_2.create, obj36_Powder_3.create, obj37_Powder_4.create, obj161__chestPowder_.create
Routine 0x19d38	routine105784:?
Routine 0x19d50	routine105808:?
! References: Powder.daemon, obj34_Powder_1.daemon, obj35_Powder_2.daemon, obj36_Powder_3.daemon, obj37_Powder_4.daemon, obj161__chestPowder_.daemon
Routine 0x1a020	routine106528:?
Routine 0x1a0b0	routine106672:?
! References: Water.burntDesc, obj39_Water_1.burntDesc, obj40_Water_2.burntDesc, obj41_Water_3.burntDesc, obj42_Water_4.burntDesc, obj170__streamWater_.burntDesc
Routine 0x1a0b8	routine106680:?
! References: Water.getClass, obj39_Water_1.getClass, obj40_Water_2.getClass, obj41_Water_3.getClass, obj42_Water_4.getClass, obj170__streamWater_.getClass
Routine 0x1a0c8	routine106696:?
Routine 0x1a0d0	routine106704:?
Routine 0x1a5b0	routine107952:?
! References: NPC.npc_before, obj86_pig.npc_before, obj127_pig.npc_before, obj215_gnome.npc_before
Routine 0x1a5c0	routine107968:?
Routine 0x1a628	routine108072:?
! References: NPC.npc_preact, obj86_pig.npc_preact, obj127_pig.npc_preact, obj215_gnome.npc_preact
Routine 0x1a638	routine108088:?
! References: NPC.life, obj86_pig.life, obj127_pig.life, obj215_gnome.life
Routine 0x1a718	routine108312:?
! References: NPC.npc_life, obj86_pig.npc_life, obj127_pig.npc_life, obj215_gnome.npc_life
Routine 0x1a728	routine108328:?
! References: NPC.daemon, obj86_pig.daemon, obj215_gnome.daemon
Routine 0x1a898	routine108696:?
Routine 0x1a8d8	routine108760:?
! References: NPC.npc_daemon
Routine 0x1a8e0	routine108768:?
! References: NPC.orders, obj86_pig.orders, obj127_pig.orders, obj215_gnome.orders
Routine 0x1a8e8	routine108776:?
! References: NPC.refreshTopics
Routine 0x1a9c0	routine108992:?
! References: NPC.listTopics, obj86_pig.listTopics, obj127_pig.listTopics, obj215_gnome.listTopics
Routine 0x1a9c8	routine109000:?
Routine 0x1aa78	routine109176:?
Routine 0x1ab80	routine109440:?
Routine 0x1aba0	routine109472:?
Routine 0x1aba8	routine109480:?
Routine 0x1abb8	routine109496:?
Routine 0x1b0d8	routine110808:?
